technology,sub_concept_id,sub_concept,lang,term,term_norm_v3,rule,gate,source,v2_reason
Cloud,CL-5,Cloud migration / transition to cloud,ar,الانتقال إلى السحابة,انتقال الي سحابه,substring,,AR,AR-5 mangled the stem in v1
SAR,SAR-6,"Document automation feeding reporting (OCR, e-invoicing, e-archiving)",ar,نظام إدارة الوثائق,نظام اداره وثائق,substring,,AR,
Cloud,CL-3,Cloud software / SaaS / cloud-based accounting or ERP,en,cloud accounting,cloud accounting,substring,,FACCIA2019,
ERP,ERP-2,"Module integration (finance/GL, procurement, inventory, HR, sales)",en,inventory module,inventory module,substring,,TH2.5.3,
ERP,ERP-6,"ERP integration with external/advanced systems (APIs, banks, NLP)",en,bank integration,bank integration,substring,,FACCIA2023,
AI/ML,AI-1,Machine learning,en,machine learning,machine learning,substring,,TH2.5.5;LI2025,
XBRL,XB-4,Structured / machine-readable data use beyond compliance,en,machine-readable,machine readable,substring,,TH2.5.3,
ERP,ERP-0,Generic ERP term (technology-level),ar,نظام تخطيط الموارد,نظام تخطيط موارد,substring,,AR,
ERP,ERP-5,"ERP-based management reporting and costing (ABC, MES)",ar,نظام تنفيذ التصنيع,نظام تنفيذ تصنيع,substring,,AR,
XBRL,XB-3,XBRL-enabled systems / in-house preparation,ar,إعداد ملفات XBRL,اعداد ملفات xbrl,substring,,AR,AR-5 mangled the stem in v1
AI/ML,AI-5,Predictive analytics (AI-based),en,predictive model,predictive model,substring,AI-0,TH2.5.5,
SAR,SAR-6,"Document automation feeding reporting (OCR, e-invoicing, e-archiving)",ar,الفوترة الإلكترونية,فوتره الكترونيه,substring,,JO-REG,
SAR,SAR-0,Generic automation-of-reporting term (technology-level),en,smart reporting,smart reporting,substring,,TH2.5.3,
Cloud,CL-0,Generic cloud term (technology-level),ar,السحابة الإلكترونية,سحابه الكترونيه,substring,,AR,
SAR,SAR-6,"Document automation feeding reporting (OCR, e-invoicing, e-archiving)",ar,نظام الفوترة الوطني,نظام فوتره وطني,substring,,JO-REG,
